0.0 0.0
14.6 4.6
23.8 -26.4
18.0 -19.7
16.8 -8.4
-3.1 12.0
13.1 17.8
23.7 18.0
-50.3 -140.8
-56.4 -134.8
-100.0 -177.2
-88.6 -171.4
-75.2 -159.1
-73.7 -150.5
-53.0 -127.1
-43.3 -111.6
-62.5 -104.5
-78.3 -60.1
-87.5 -88.1
-98.6 -129.9
-99.1 -137.3
-90.7 -124.3
-98.0 -119.2
-118.2 -70.6
-147.9 -97.2
-108.2 -69.2
-28.9 14.2
-103.9 -39.6
-90.5 -29.7
-84.1 -43.2
-66.4 -27.7
-53.6 -28.2
-44.3 -32.8
-38.5 -35.6
-33.7 -29.2
-37.8 -22.4
-47.8 -17.6
-59.7 -8.9
-67.9 -9.1
-68.7 0.1
-74.2 9.0
-60.8 26.1
-57.5 22.4
-47.3 9.9
-45.9 14.7
-43.5 2.4
49.8 -0.5
33.9 14.8
40.2 29.9
67.1 50.4
55.4 54.8
41.9 20.3
44.7 54.8
44.1 47.8
54.7 50.8
56.2 73.1
23.8 0.2
42.5 40.1
50.5 46.4
35.0 -6.9
27.4 -5.7
34.5 -0.6
25.3 30.5
37.3 40.7
42.0 53.7
48.8 70.6
48.5 78.0
43.0 64.3
42.2 74.0
46.5 82.4
64.2 105.1
81.2 78.4
89.1 143.9
82.7 30.9
84.1 124.0
98.3 93.6
113.8 86.9
80.9 114.7
102.9 137.9
80.4 86.5
92.7 84.8
89.4 58.2
88.2 70.2
92.9 70.4
90.3 90.0
85.1 106.6
89.4 43.4
86.1 37.9
97.6 11.3
83.9 -9.0
79.5 158.0
72.9 185.5
57.6 195.3
22.7 97.4
24.8 105.7
13.7 87.9
24.0 138.3
27.6 144.4
33.1 163.7
35.2 185.2
31.4 204.0
39.8 218.7
25.6 264.1
60.6 254.3
80.8 230.7
74.9 213.2
98.6 209.7
34.0 228.4
-24.7 251.2
-17.3 237.9
-11.2 244.9
204.2 82.1
234.6 106.3
160.7 143.9
226.5 94.2
221.2 84.3
214.6 71.3
266.5 94.1
260.4 85.6
249.8 88.0
191.9 73.4
179.4 67.9
194.5 106.0
174.7 110.9
178.3 120.9
138.5 125.5
142.2 156.7
127.8 140.8
129.2 169.4
-30.6 -81.6
20.2 -46.9
-19.9 -71.0
-39.4 -64.6
-51.6 -52.4
-47.4 -56.0
-37.7 -55.9
0.1 -56.0
37.3 -32.8
42.1 -37.1
46.0 -53.4
57.8 -63.7
62.2 -52.2
77.5 -76.5
81.5 -78.8
113.6 -97.6
126.9 -102.0
144.2 -114.0
148.0 -15.1
148.2 -7.5
151.6 11.7
156.0 18.8
131.4 4.1
119.3 2.0
123.0 -5.6
136.3 -16.5
142.9 -40.0
147.3 -45.1
154.7 -61.8
157.3 -84.8
160.9 -16.9
168.3 -14.6
172.9 -28.6
181.3 6.9
176.8 20.1
192.3 44.9
185.2 -27.8
243.3 -8.5
250.1 -7.2
280.7 -1.1
303.4 1.7
260.9 26.6
249.5 46.7
238.4 18.5
218.4 -11.6
339.8 29.6
302.4 36.6
290.7 54.5
303.5 66.3
308.2 106.4
